"Control Type","Action Category","Workload","Tier","User Impact","Implementation Cost","Enablement","Reference Id","Stack Rank","Baseline","Threats","Deprecated","Description","Name","Remediation Change","Remediation Impact","Action Url"
"Config","Device","IP","Advanced","Low","Low","O365 Native","MDMPWReq",58,5,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should require your users to use a password to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device. We found that your mobile device policy requiring a password is set to False.   If you require a password on mobile devices, your score will go up 5 points.","Require mobile devices to use a password","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to use a password to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device.","This change will have no effect on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMRootedBlock",69,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should not allow your users to use to connect with mobile devices that have been jail broken or rooted. These devices have had basic protections disabled to run software that is often malicious and could very easily lead to an account or data breach. We found that your mobile device policy disallowing rooted devices is set to True.   If you disallow rooted devices, your score will go up 1 points.","Do not allow jail broken or rooted mobile devices to connect","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to use to connect with mobile devices that have been jail broken or rooted. These devices have had basic protections disabled to run software that is often malicious and could very easily lead to an account or data breach.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMSimplePW",63,2,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should require your users to use a complex password to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device. We found that your mobile device policy requiring a complex password is set to False.   If you require a complex password on mobile devices, your score will go up 2 points.","Do not allow simple passwords on mobile devices","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to use a complex password to unlock their mobile devices. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device. ","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMWipeOnFail",68,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should require your users to wipe the contents of the mobile device after no more than 10 sign in failures. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device. We found that your mobile device policy requiring wipe after multiple failed sign ins is set to wipe after infinite failures.   If you require a content wipe after less than 10 sign in failures, your score will go up 1 points.","Require mobile devices to wipe on multiple sign-in failures","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to wipe the contents of the mobile device after no more than 10 sign in failures. Devices without this protection are vulnerable to being accessed physically by attackers who can then steal account credentials, data, or install malware on the device.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Moderate","O365 Native","MDMEnabled",57,20,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should use a mobile device management service such as Office 365 Mobile Device Management or Microsoft InTune. Devices, especially mobile devices, are vulnerable to attacks such as malware that can lead to account and data breaches. We found that your enablement of mobile device management services is False.   If you enable a mobile device management service, your score will go up 20 points.","Enable mobile device management services","Clicking the launch button below will take you to the activation process for mobile device management. The built-in Mobile Device Management (MDM) for Office 365 helps you secure and manage your users' mobile devices like iPhones, iPads, Androids, and Windows phones. You can create and manage device security policies, remotely wipe a device, and view detailed device reports.  ","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMLockInactive",66,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should require your users to configure their mobile devices to lock on inactivity. Attackers can steal unlocked devices and access data and account information. We found that your mobile device policy requiring lock on inactivity is set to infinite.   If you require lock on inactivity on mobile devices, your score will go up 1 points.","Require mobile devices to lock on inactivity","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to configure their mobile devices to lock on inactivity. Attackers can steal unlocked devices and access data and account information.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMPWReuse",71,1,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should not allow your users to reuse the same password on their mobile devices. Devices without this protection are vulnerable to being accessed by attackers who can then steal account credentials, data, or install malware on the device. We found that your mobile device password re-use history policy is set to remember infinite passwords.   If you keep a password history of at least 5 passwords, your score will go up 1 points.","Do not allow mobile device password re-use","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to require users to reuse the same password on their mobile devices. Devices without this protection are vulnerable to being accessed by attackers who can then steal account credentials, data, or install malware on the device.","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Device","IP","Advanced","Moderate","Low","O365 Native","MDMReportViolation",59,5,"Account Breach,Data Exfiltration,Data Spillage",FALSE,"You should configure your mobile device management policies to block access to devices that violate your policy and to report those violations to an administrator. Users will be able to connect with non-compliant devices unless you block access, leading to vulnerable devices connecting to your data. We found that your policy configure to block access and report mobile devices is set to False.   If you enable this policy, your score will increase by 5 points.","Require mobile devices to block access and report policy violations","Clicking the launch button below will take you to the device security policies page in the Security & Compliance center. Here, you can set a policy to block access to devices don't conform to your MDM policies and to report those violations to an administrator. Users will be able to connect with non-compliant devices unless you block access, leading to vulnerable devices connecting to your data. ","This change will have a moderate impact on your users.","https://portal.office.com/EAdmin/Device/IntuneInventory.aspx"
"Config","Data","IP","Core","Low","Low","O365 Native","WeakSpam",5,15,"Account Breach,Phishing/Whaling,Spoofing",FALSE,"We currently do not have the telemetry available for this security control. You should still however adopt this Security Controls recommendation. When the telemetry lands you will automatically be credited points for this action. 

 You should set your Exchange Online Outbound Spam notifications to copy and notify someone when a sender in your tenant has been blocked for sending excessive or spam emails. A blocked account is a good indication that the account in question has been breached and that an attacker is using it to send spam emails to other people. ","[Not Scored] Set outbound spam notifications","Enabling strong outbound spam policy notifications will notify a tenant administrator if an account is blocked for sending excessive spam emails and send a copy of the email causing the block to occur. The accounts will always be blocked, but when you configure notifications, you will know when the account has been blocked and can determine the root cause.","When a sender is blocked from the service due to sending outbound spam, the recipients specified below will receive a notification and copy of the email message.","https://outlook.office365.com/ecp/?Realm=%tenantdomain%exsvurl=1mkt=en-USrfr=Admin_o365"
"Review","Data","IP","Core","Low","Low","O365 Native","AuditEnabled",3,15,"Account Breach,Data Exfiltration,Data Deletion,Elevation of Privilege,Malicious Insider",FALSE,"We currently do not have the telemetry available for this security control. You should still however adopt this Security Controls recommendation. When the telemetry lands you will automatically be credited points for this action. 

 You should enable audit data recording for your Office 365 service to ensure that you have a record of every user and administrator's interaction with the service, including Azure AD, Exchange Online, and SharePoint Online/OneDrive for Business. This data will make it possible to investigate and scope a security breach, should it ever occur. ","[Not Scored] Enable audit data recording","Clicking the launch button below will turn on audit activity recording for your service so that all activity will be recorded and retained for 90 days. This will make it much simpler for you to determine what an attacker has done in the event of a compromise and to fully and completely recover.","This change will have no effect on your users.","https://protection.office.com/#/unifiedauditlog"
"Review","Account","AzureAD","Core","Low","Low","O365 Native","SignIns",4,45,"Account Breach,Password Cracking,Data Exfiltration,Data Spillage",FALSE,"You should review the Azure Security reports at least every week. These reports contains records of accounts that have successfully signed-in after multiple risk events, such as locations, IP addresses which could be an indication that the account could be compromised.  We found that the last time you reviewed this report was not within the suggested timeframe. If you review this report, your score will go up 45 points.","Review signs-ins after multiple failures report weekly","Clicking the launch button below will take you to an security report showing a list of all the successful sign-ins that have occurred after multiple failures. While there are legitimate reasons for this behavior, it also could indicate that an attacker has been active. The report itself includes the name of the user, the number of failed attempts before the successful sign in, and the time of the first successful sign in.","This change will have no effect on your users.","https://portal.azure.com/#blade/Microsoft_AAD_IAM/ActiveDirectoryMenuBlade/RiskySignIns"
"Config","Data","EXO","Core","Low","Low","O365 Native","MailboxAuditingEnabled",6,10,"Account Breach",FALSE,"You should enable mailbox auditing for at least ninety percent of all users that have mailboxes in your tenancy. By default all non-owner access is audited, but you must enable auditing on the mailbox for owner access to also be audited. This will allow you to discover illicit access of Exchange Online activity if a user's account has been breached. We found that you had 0 mailboxes of 1 with audited enabled.   If you enable mailbox auditing on at least ninety percent of your mailboxes, your score will go up 10 points.","Enable mailbox auditing for all users","Running the PowerShell script linked below will turn on owner activity mailbox auditing for all mailboxes in your service. By default all non-owner access and administrative actions are recorded, but owner actions are not. Enabling mailbox auditing will include owner activity in the audit records, which will in turn enable you to investigate and scope a compromise of that user's account.","This change will have no effect on your users.","https://github.com/OfficeDev/O365-InvestigationTooling/blob/master/EnableMailboxAuditing.ps1"
"Review","Account","AzureAD","Core","Low","Low","O365 Native","RGChanges",9,10,"Account Breach,Elevation of Privilege",FALSE,"You should review user role group changes at least every week. There are several ways you can do this, including simply reviewing the list of users in different administrative role groups in the Office 365 Admin Portal, or by reviewing role administration activity in the last week from the Audit Log Search. You should do this because you should watch for illicit role group changes, which could give an attacker elevated privileges to perform more dangerous and impactful things in your tenancy.  We found that the last time you reviewed this report was not within the suggested timeframe. If you review this report, your score will go up 10 points.","Review role changes weekly","Clicking the launch button below will take you to a management interface showing a list of all the users in your tenancy that currently hold administrator privileges. Selecting any given user will bring up a pane showing more details about the user. Reviewing this list periodically will help you detect when an attacker has infiltrated into your tenant and is elevating their permissions to perform more dangerous and impactful things in your tenancy.","This change will have no effect on your users.","https://portal.office.com/Admin/Default.aspx#ActiveUsersPage"
"Config","Data","OD4B","Core","Low","Low","O365 Native","AdoptedODB",10,10,"Data Exfiltration,Data Deletion",FALSE,"You should store user documents in OneDrive for Business because it safeguards this content against data loss. We found that OneDrive for Business is False.   If you enable OneDrive for Business, your score will go up 10 points.","Store user documents in OneDrive for Business","You should adopt and use OneDrive for Business to store user documents. Storing documents on local client machines leaves them vulnerable to malware attacks like Ransomware that destroy or leak that data. Keeping data in OneDrive for Business gives you an effective backup and restore mechanism to recover from an attack on your locally stored documents. We measure whether or not you have used OneDrive for Business in the last month. The link below will take you to your OneDrive for Business instance.","This change will have no negative effect on your users, although you should ensure they understand how to use OneDrive for Business to store and sync their documents.","https://portal.office.com/AdminPortal/Home?switchtomoderndefault=true#/catalog"
"Config","Data","AzureAD","Core","Low","Low","O365 Native","IRMEnabled",12,10,"Data Spillage,Data Exfiltration",FALSE,"We currently do not have the telemetry available for this security control. You should still however adopt this Security Controls recommendation. When the telemetry lands you will automatically be credited points for this action. 

 You should enable IRM services so that your users can implement encryption and data leakage policies on specific documents and emails. This will make it more difficult for an attacker to steal valuable data. ","[Not Scored] Enable Information Rights Management (IRM) services","Enabling Information Rights Management services at the site linked below will give your users the ability to apply protection to their files and limit consumers ability to access as well as distribute files. This will allow your users to encrypt their files and ensure that only the intended target can open and decrypt the files.","This change will have no negative effect on your users, although you should ensure they understand how to use Information Rights Management","https://account.activedirectory.windowsazure.com/RmsOnline/Manage.aspx?BrandContextID=O365"
"Review","Data","IP","Core","Low","Low","O365 Native","AuditUsed",13,5,"Account Breach,Data Exfiltration,Data Deletion,Elevation of Privilege,Malicious Insider",FALSE,"You should consume your audit data either through the audit log search or through the Activity API to a third party security information system at least every week. This data enables a wide range of illicit activity detection and security breach scoping and investigation capabilities. Consuming and reviewing it regularly makes it less likely that an attacker will operate in your tenancy undetected for long periods of time.  We found that the last time you reviewed this report was not within the suggested timeframe. If you consume this data, your score will go up 5 points.","Use audit data","Clicking the launch button below will take you to the audit log search where you can consume the audit log data and look for any signs of an attacker breaching your tenancy and taking any illicit actions. Reviewing these logs periodically reduce the possibility of an attacker operating unnoticed for long periods of time within your tenancy.","This change will have no effect on your users.","https://protection.office.com/#/unifiedauditlog"
"Config","Data","IP","Core","Low","Low","O365 Native","NoGlobalMailForwarding",14,5,"Account Breach,Data Exfiltration,Data Spillage,Malicious Insider",FALSE,"We currently do not have the telemetry available for this security control. You should still however adopt this Security Controls recommendation. When the telemetry lands you will automatically be credited points for this action. 

 You should set your Exchange Online mail transport rules to not forward mail to domains not registered in your tenancy. Attackers will often create these rules to exfiltrate data from your tenancy. ","[Not Scored] Do not use transport rule to external domains","Clicking the launch button below will take you to the Exchange admin center where you can review the existing mail transport rules and remove rules which forward mail to domains not registered in your tenancy. To set Exhange Online mail transport rules, navigate to mail flow > rules in the Exchange admin center. Removing these rules will reduce the ability of attackers from siphoning out data from your tenancy. ","This change will have no effect on your users.","https://outlook.office365.com/ecp/?Realm=%tenantdomain%exsvurl=1mkt=en-USrfr=Admin_o365"
"Config","Data","IP","Core","Low","Low","O365 Native","NoTransportWhitelist",15,5,"Phishing/Whaling,Spoofing",FALSE,"We currently do not have the telemetry available for this security control. You should still however adopt this Security Controls recommendation. When the telemetry lands you will automatically be credited points for this action. 

 You should set your Exchange Online mail transport rules to not whitelist specific domains. Doing so bypasses regular malware and phish scanning, which can enable an attacker to launch attacks against your users from a safe haven domain. ","[Not Scored] Do not use transport white lists","Clicking the launch button below will take you to the exchange admin center where you can review the existing domain whitelists and remove these domains. To set Exhange Online mail transport rules, navigate to mail flow > rules in the Exchange admin center. Removing these domains will allow automatic filtering of suspected spam from these domains away from the inbox and reduce the likelihood that your users will fall prey to these attacks.","This change will have no effect on your users.","https://outlook.office365.com/ecp/?Realm=%tenantdomain%exsvurl=1mkt=en-USrfr=Admin_o365"
"Review","Data","EXO","Core","Low","Low","O365 Native","MailForwardingRules",16,5,"Account Breach,Data Exfiltration,Malicious Insider",FALSE,"You should review mailbox forwarding rules to external domains at least every week. There are several ways you can do this, including simply reviewing the list of mail forwarding rules to external domains on all of your mailboxes using a PowerShell script, or by reviewing mail forwarding rule creation activity in the last week from the Audit Log Search. While there are lots of legitimate uses of mail forwarding rules to other locations, it is also a very popular data exfiltration tactic for attackers. You should review them regularly to ensure your users' email is not being exfiltrated.  We found that the last time you reviewed this report was not within the suggested timeframe. If you review this report, your score will go up 5 points.","Review mailbox forwarding rules weekly","Running the PowerShell script linked below will generate two csv files, ""MailboxDelegatePermissions"" and ""MailForwardingRulesToExternalDomains"", in your System32 folder. You should run this script and review the reports created on a weekly basis to ensure your users' email is not being exfiltrated.","This change will have no effect on your users.","https://github.com/OfficeDev/O365-InvestigationTooling/blob/master/DumpDelegatesandForwardingRules.ps1"
"Review","Data","EXO","Core","Low","Low","O365 Native","NonOwnerAccess",17,5,"Account Breach,Data Exfiltration,Malicious Insider",FALSE,"You should review the Mailbox Access by Non-Owners report at least every other week. This report shows which mailboxes have been accessed by someone other than the mailbox owner. While there are many legitimate uses of delegate permissions, regularly reviewing that access can help prevent an external attacker from maintaining access for a long time, and can help discover malicious insider activity sooner.  We found that the last time you reviewed this report was not within the suggested timeframe. If you review this report, your score will go up 5 points.","Review mailbox access by non-owners report bi-weekly","Clicking the launch button below will take you to a report that will show which mailboxes have been accessed by someone other than the mailbox owner. Reviewing this report regularly will help you notice when an external attacker has breached your tenancy and using it to access user mailboxes.","This change will have no effect on your users.","https://outlook.office365.com/ecp/Reporting/NonOwnerAccessReport.aspx?rfr=admin_o365&exsvurl=1&mkt=en-US&Realm=%tenantdomain%"
"Review","Data","IP","Core","Low","Low","O365 Native","MalwareDetections",18,5,"Phishing/Whaling",FALSE,"You should review the Malware Detections report at least weekly. This report shows specific instances of Microsoft blocking a malware attachment from reaching your users. While this report isn't strictly actionable, reviewing it will give you a sense of the overall volume of malware being targeted at your users, which may prompt you to adopt more aggressive malware mitigations.  We found that the last time you reviewed this report was not within the suggested timeframe. If you review this report, your score will go up 5 points.","Review malware detections report weekly","Clicking the launch button below will take you to a security report where you can view how many times Microsoft blocked a malware attachment from reaching your users. Depending on how many breach attempts you faced in the last week, you may decide to adopt more aggressive malware mitigations after review.","This change will have no effect on your users.","https://admin.protection.outlook.com/Reports/DisplayReport.aspx?reportId=MalwareDetections&wa=wsignin1.0"
"Behavior","Data","EXO","Core","Low","Low","O365 Native","MailForwardingAll",20,1,"Account Breach,Data Exfiltration,Malicious Insider",FALSE,"We currently do not have the telemetry available for this security control. You should still however adopt this Security Controls recommendation. When the telemetry lands you will automatically be credited points for this action. 

 You should not use mail forwarding rules to forward user mail to external domains. While there are some legitimate uses, attackers will often create these rules to exfiltrate data from your tenancy. ","[Not Scored] Do not use mail forwarding rules to external domains","Clicking the launch button below will take you to the exchange admin center where you can review the existing mail forwarding rules and remove rules which forward user mail to domains not registered in your tenancy. To view existing mail forwarding rules, navigate to Recipients > Mailboxes in the Exchange admin center. Removing these rules will reduce the ability of attackers from siphoning out data from your tenancy . ","This change will have no effect on your users.","https://outlook.office365.com/ecp/?Realm=%tenantdomain%exsvurl=1mkt=en-USrfr=Admin_o365"
